state1,state2,distance
Indiana,Missouri,770511.433750337
Indiana,Montana,244242.91497195984
Indiana,Nebraska,136130.85734321957
Indiana,Nevada,303548.64260114887
Indiana,New Hampshire,151802.75621344955
Indiana,New Jersey,116125.8583132973
Indiana,New Mexico,205761.22749682458
Indiana,New York,111815.41718385708
Indiana,North Carolina,81454.55141365643
Indiana,North Dakota,160712.7845879101
Indiana,Ohio,35098.59029932684
Indiana,Oklahoma,120108.38829157603
Indiana,Oregon,345138.94524524466
Indiana,Pennsylvania,85388.74821075666
Indiana,Rhode Island,148328.32809682714
Indiana,South Carolina,80454.0206142614
Indiana,South Dakota,146682.6738575487
Indiana,Tennessee,363084.653733809
Indiana,Texas,155294.30202360934
Indiana,Utah,253955.24317879323
Indiana,Vermont,142413.64397065333
Indiana,Virginia,77976.53730449949
Indiana,Washington,349766.2587957849
Indiana,West Virginia,57960.253708899516
Indiana,Wisconsin,60130.27711560957
Indiana,Wyoming,214945.38525169596
Iowa,Alabama,780347.421043986
Iowa,Alaska,1446108.3756593072
Iowa,Arizona,1026075.5231877428
Iowa,Arkansas,834027.4407170305
Iowa,California,1102285.6381628131
Iowa,Colorado,962474.2672741958
Iowa,Connecticut,633793.2034607187
Iowa,Delaware,35717.042234765184
Iowa,Florida,743261.8575690535
Iowa,Georgia,746911.3373058412
Iowa,Hawaii,1486289.303284189
Iowa,Idaho,31046.002206403322
Iowa,Illinois,798727.8732565929
Iowa,Indiana,769629.0631732926
Iowa,Iowa,0.0
Iowa,Kansas,891028.0452713035
Iowa,Kentucky,760880.903191163
Iowa,Louisiana,833768.3195156794
Iowa,Maine,599837.3510877761
Iowa,Maryland,774935.3076128355
Iowa,Massachusetts,624589.7250147492
Iowa,Michigan,760945.1385559934
Iowa,Minnesota,850597.3215247036
Iowa,Mississippi,808592.8869913463
Iowa,Missouri,37199.4847948194
Iowa,Montana,1004071.5605697634
Iowa,Nebraska,904470.9592651386
Iowa,Nevada,1073167.4292951683
Iowa,New Hampshire,622522.0398837298
Iowa,New Jersey,653503.7430344222
Iowa,New Mexico,970663.504670903
Iowa,New York,661830.334264757
Iowa,North Carolina,703408.7025314657
Iowa,North Dakota,912746.9940071016
Iowa,Ohio,734658.8315687765
Iowa,Oklahoma,883830.2398385111
Iowa,Oregon,1112242.283764648
Iowa,Pennsylvania,684604.652993244
Iowa,Rhode Island,622078.7896054647
Iowa,South Carolina,720104.215893783
Iowa,South Dakota,909075.7785536913
Iowa,Tennessee,860846.3751041762
Iowa,Texas,906037.2850451575
Iowa,Utah,1023581.766770491
Iowa,Vermont,633475.7788108398
Iowa,Virginia,696531.0610281497
Iowa,Washington,1112243.0616555898
Iowa,West Virginia,713557.8822527294
Iowa,Wisconsin,806847.8047866276
Iowa,Wyoming,982059.150302058
Kansas,Alabama,128877.84812759717
Kansas,Alaska,596577.1735391826
Kansas,Arizona,139339.72173432814
Kansas,Arkansas,69438.281120719
Kansas,California,211298.22734703668
Kansas,Colorado,71850.63326791213
Kansas,Connecticut,258431.26259220263
Kansas,Delaware,908312.5371159422
Kansas,Florida,187368.5984176644
Kansas,Georgia,160432.5757693867
Kansas,Hawaii,607823.9256470577
Kansas,Idaho,871162.2544996999
Kansas,Illinois,93134.48513305906
Kansas,Indiana,121795.87911337559
